,C h a r s e t,U n i c o d e,"I S O   8 8 5 9 - 1 ,   2 ,   3 ,   9 ,   1 4 ,   1 5 ,   1 6"
0,Majuscule Ç,U+00C7,C7
1,Minuscule ç,U+00E7,E7
