,T a h u n,J u d u l,P e r a n,K e t e r a n g a n
0,1977,Saritem Penjual Jamu,Saritem,
1,1977,Sembilan Janda Genit,Janda,
2,1978,Godaan,Magdalena,
3,1978,Remaja Pulang Pagi,Wike,
4,1981,Ketika Cinta Harus Memilih,Ditya,
5,1983,Bumi Bulat Bundar,Iyen,
6,1983,Perjanjian Setan,Maryam,
7,1983,Damarwulan-Minakjinggo,Dewi Wahita,
8,1984,Asal Tahu Saja,,
9,1984,Tahu Diri Dong,,
10,1984,Permata Biru,,
11,1984,Titik-Titik Noda,,
12,1984,Usia dalam Gejolak,Tina,
13,1984,Bibir-Bibir Bergincu,,
14,1984,Sona Anak Srigala,Intan,
15,1985,Bukit Berdarah,,
16,1985,Romantika,,
17,1985,Tertembaknya Seorang Residivis,Suci,
18,1985,Darah Perjaka,Susi,
19,1985,Hatiku Bukan Pualam,,
20,1985,Gantian Dong,Julia,
21,1986,Pertarungan untuk Hidup,,
22,1986,Naga Sakti,,
23,1986,Pengantin Baru,,
24,1987,Jubah Hitam,,
25,1987,Perempuan Malam,,
26,1988,Siapa Menabur Benci Akan Menuai Bencana,Nita,
27,1988,Cakar Harimau,Sundari,
28,1989,Laura Si Tarzan,Laura,
29,1989,Misteri Cinta,Meita,
30,1989,Mustika Sakti,Sri Kemuning,
31,2004,Ketika,Bu Gregi,
32,2014,Hijrah Cinta,Umi Tatu,
33,2015,Lamaran,Bu Euis,
