,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r O,H u r u f   k e c i l o
0,Unicode,Unicode,U+004F,U+006F
1,ASCII,Desimal,79,111
2,ASCII,Biner,01001111,01101111
3,EBCDIC,EBCDIC,214,150
