,N a m a   p e n y a k i t,P e n y e b a b,I n a n g
0,Penyakit tidur (tripanosomiasis Afrika),T. brucei,Manusia
1,Penyakit Chagas (tripanosomiasis Amerika),T. cruzi,Manusia
2,Nagana (tripanosomiasis hewan),Beberapa spesies,Hewan
3,Surra,T. evansi,Hewan
4,Dourin,T. equiperdum,Equidae
