,T u n g g a l,D u a l i s,J a m a k
0,-s(-m),-au(-ī),-as(-i)
1,-am(-m),-au(-ī),-as(-i)
2,-ā,-bhyām,-bhis
3,-e,-bhyām,-bhyas
4,-as,-bhyām,-bhyas
5,-as,-os,-ām
6,-i,-os,-su
7,-s(-),-au( -ī),-as(-i)
