,B i b i r,A l v e o l a r,P a l a t a l / R e t r o f l e k s,V e l a r,G l o t a l
0,m,n,ɲ,ŋ,
1,p,t,c,k,ʔ
2,b,d,dʒ,ɡ,
3,,s,,,h
4,,l,ɭ̆,,
5,,r,,,
6,w,,j,,
