,C a l o n   p r e s i d e n,P a r t a i,A s a l,S u a r a   r a k y a t,S u a r a   r a k y a t,S u a r a e l e k t o r a l,P a s a n g a n,P a s a n g a n,P a s a n g a n
0,Barack Obama,Democratic,Illinois,69498215,52.93%,365,Joe Biden,Delaware,365
1,John McCain,Republican,Arizona,59948240,45.66%,173,Sarah Palin,Alaska,173
2,Ralph Nader,Independent,Connecticut,738721,0.56%,0,Matt Gonzalez,California,0
3,Bob Barr,Libertarian,Georgia,523713,0.40%,0,Wayne Allyn Root,Nevada,0
4,Chuck Baldwin,Constitution,Florida,199437,0.15%,0,Darrell Castle,Tennessee,0
5,Cynthia McKinney,Green,Georgia,161680,0.12%,0,Rosa Clemente,North Carolina,0
6,Lainnya,Lainnya,Lainnya,323984,0.25%,—,Lainnya,Lainnya,—
7,Total,Total,Total,131393990,100%,538,,,538
8,Minimal untuk menang,Minimal untuk menang,Minimal untuk menang,Minimal untuk menang,Minimal untuk menang,270,,,270
