,N e g a r a,P o p u l a s i,L u a s   ( k m 2 ),K e p a d a t a n   ( h a b . / k m 2 ),I b u   k o t a,K o t a   t e r b e s a r
0,Amerika Serikat,,,34,Washington,New York City
1,Britania Raya,,,255,London,London
2,Kanada,,,3,Ottawa,Toronto
3,Australia,,,2,Canberra,Sydney
4,Irlandia,,,65,Dublin,Dublin
5,Selandia Baru,,,16,Wellington,Auckland
6,Total,,,16,—,—
