,D a r i   K e l v i n,K e   K e l v i n
0,"[°C] = [K] − 273,15","[K] = [°C] + 273,15"
1,"[°F] = [K] × 9⁄5 − 459,67","[K] = ([°F] + 459,67) × 5⁄9"
2,[°R] = [K] × 9⁄5,[K] = [°R] × 5⁄9
3,"Untuk rumus interval suhu alih-alih suhu tertentu,1 K = 1 °C = 9⁄5 °F = 9⁄5 °RPerbandingan di antara berbagai skala suhu","Untuk rumus interval suhu alih-alih suhu tertentu,1 K = 1 °C = 9⁄5 °F = 9⁄5 °RPerbandingan di antara berbagai skala suhu"
