,N a m a,T a n g g a l / l a m a   b e r k u a s a
0,Rahotep Sekhemrewahkhaw,Tidak diketahui
1,Sobekemsaf I Sekhemreshedtawy,Tidak diketahui
2,Intef VI Sekhemrewepmaat,Tidak diketahui
3,Intef VII Nebkheperre,Tidak diketahui
4,Intef VIII Sekhemreherhermaat,Tidak diketahui
5,Sobekemsaf II Sekhemrewadjkhaw,7 tahun
6,Senakhtenre,1 tahun
7,Seqenenre,1560 4 tahun
8,Kamose,1555 atau 1550 SM 5 tahun
