,d w i b i b i r,R o n g g i .,L a n g .,L a n g b e l .,C e l s u .
0,p,t,,k,ʔ
1,b,d,ɟ,g,
2,ᵐp,ⁿt,ᶮc,ᵑk,
3,ᵐb,ⁿd,ᶮɟ,ᵑg,
4,,s,,,h
5,m,n,ɲ,ŋ,
6,,r,,,
7,ʋ,l,j,,
