,D i v i s i   a d m i n i s t r a t i f   S h e n z h e n,D i v i s i   a d m i n i s t r a t i f   S h e n z h e n,D i v i s i   a d m i n i s t r a t i f   S h e n z h e n,D i v i s i   a d m i n i s t r a t i f   S h e n z h e n,D i v i s i   a d m i n i s t r a t i f   S h e n z h e n,D i v i s i   a d m i n i s t r a t i f   S h e n z h e n,D i v i s i   a d m i n i s t r a t i f   S h e n z h e n,D i v i s i   a d m i n i s t r a t i f   S h e n z h e n
0,440300,Shenzhen,1996.78,17.494.398,Futian,518000,74,775
1,440303,Luohu,7875,1.143.801,Subdistrik Huangbei,518000,10,115
2,440304,Futian,78.65,1.553.225,Subdistrik Shatou,518000,10,115
3,440305,Nanshan,185.49,1.795.826,Subdistrik Nantou,518000,8,105
4,440306,Bao'an,398.38,4.476.554,Subdistrik Xin'an,518100,10,123
5,440307,Longgang *,387.82,3.979.037,Subdistrik Longcheng,518100,11,111
6,440308,Yantian,74.63,214.225,Subdistrik Haishan,518081,4,23
7,440309,Longhua,175.58,2.528.872,Subdistrik Guanlan,518110,6,100
8,440310,Pingshan,167.00,551.333,Subdistrik Pingshan,518118,6,30
9,440311,Guangming,155.44,1.095.289,SubdistrikGuangming,518107,6,28
10,,,,,,,,
11,,Dapeng,295.05,156.236,Subdistrik Dapeng,518116,3,25
12,,Qianhai,,,,,,
13,* — Statistik tidak termasuk distrik baru yang disubordinasikan. Semua distrik baru adalah wilayah pengelolaan; bukan divisi administratif yang terdaftar di bawah Kementerian Urusan Sipil. * – Dapeng adalah bagian dari Longgang.,* — Statistik tidak termasuk distrik baru yang disubordinasikan. Semua distrik baru adalah wilayah pengelolaan; bukan divisi administratif yang terdaftar di bawah Kementerian Urusan Sipil. * – Dapeng adalah bagian dari Longgang.,* — Statistik tidak termasuk distrik baru yang disubordinasikan. Semua distrik baru adalah wilayah pengelolaan; bukan divisi administratif yang terdaftar di bawah Kementerian Urusan Sipil. * – Dapeng adalah bagian dari Longgang.,* — Statistik tidak termasuk distrik baru yang disubordinasikan. Semua distrik baru adalah wilayah pengelolaan; bukan divisi administratif yang terdaftar di bawah Kementerian Urusan Sipil. * – Dapeng adalah bagian dari Longgang.,* — Statistik tidak termasuk distrik baru yang disubordinasikan. Semua distrik baru adalah wilayah pengelolaan; bukan divisi administratif yang terdaftar di bawah Kementerian Urusan Sipil. * – Dapeng adalah bagian dari Longgang.,* — Statistik tidak termasuk distrik baru yang disubordinasikan. Semua distrik baru adalah wilayah pengelolaan; bukan divisi administratif yang terdaftar di bawah Kementerian Urusan Sipil. * – Dapeng adalah bagian dari Longgang.,* — Statistik tidak termasuk distrik baru yang disubordinasikan. Semua distrik baru adalah wilayah pengelolaan; bukan divisi administratif yang terdaftar di bawah Kementerian Urusan Sipil. * – Dapeng adalah bagian dari Longgang.,* — Statistik tidak termasuk distrik baru yang disubordinasikan. Semua distrik baru adalah wilayah pengelolaan; bukan divisi administratif yang terdaftar di bawah Kementerian Urusan Sipil. * – Dapeng adalah bagian dari Longgang.
