,0,1,2
0,Aktivitas,50 kg (kkal/jam),70 kg (kkal/jam)
1,Bersepeda 10 km/jam,165,240
2,Bersepeda 20 km/jam,270,410
3,Berlari 9 km/jam,440,660
4,Berlari 16 km/jam,850,1.280
5,Berenang 23 m/menit,185,275
6,Berjalan 3 km/jam,160,240
