,N a m a,M a s a   B e r k u a s a,U r u t a n   d a l a m   D a f t a r   R a j a   A b y d o s
0,Hotepsekhemwy (Bedjau),38,9
1,Raneb (juga dibaca Nebra; Kakau),39,10
2,Nynetjer (Banetjer),40,11
3,Weneg (Wadjnas),8,12
4,Senedj (Sendi),20,13
