,N a m e   o f   K i n g,N a m a   H o r u s   ( T a h t a ),D a t e,P i r a m i d,R a t u,U r u t a n   d a l a m   D a f t a r   R a j a   A b y d o s
0,Sneferu,??,2613-2589 SM,Red Pyramid ?,Ratu Hetepheres I,20.0
1,Khufu,Medjedu,2589–2566 SM,Great Pyramid of Giza,Ratu Meritites I Ratu Henutsen,21.0
2,Djedefre,Kheper,2566–2558 SM ?,Piramid Djedefre,Ratu Hetepheres II Ratu Khentetka,22.0
3,Khafre,Userib,2558–2532 SM,Piramid Khafra,Ratu Meresankh III Ratu Khamerernebty I Queen Hekenuhedjet Queen Persenet,23.0
4,Baka,??,2532 SM ?,??,??,
5,Menkaure,Kakhet,2532–2503 SM ?,Piramid Menkaure,Ratu Khamerernebty II,24.0
6,Shepseskaf,Shepseskhet,2503–2499 SM ?,Mastabet el-Fara'un,Ratu Bunefer?,25.0
7,Djedefptah,??,2499–2494 SM ?,??,??,
