,A g a m a,P o p u l a s i,%
0,Hindu,6.700.092,78.87%
1,Muslim,1.181.077,13.90%
2,Kristen,476.834,5.61%
3,Jainisme,82.197,0.97%
4,Sikhisme,12.412,0.15%
5,Buddha,5.150,0.06%
6,Lainnya,486,0.01%
7,Tidak disebutkan,37.244,0.44%
