,L a m a   H a r i,P e r i o d e,M a s a
0,1.0,= 1 Kin,-
1,20.0,= 20 Kin,= 1 Uinal
2,360.0,= 18 Uinal,= 1 Tun
3,7.2,= 20 Tun,= 1 Katun
4,144.0,= 20 Katun,= 1 Baktun
