,K u r s i,N a m a,T a h u n   T e r p i l i h
0,1,Claude Dagens,2008.0
1,2,Dany Laferrière,2013.0
2,3,Jean-Denis Bredin,1989.0
3,4,Jean-Luc Marion,2008.0
4,5,Andreï Makine,2016.0
5,6,Marc Fumaroli,1995.0
6,7,Jules Hoffmann,2012.0
7,8,Michel Déon,1978.0
8,9,Kosong,
9,10,Florence Delay,2000.0
10,11,Gabriel de Broglie,2001.0
11,12,Jean d'Ormesson (Dean),1973.0
12,13,Simone Veil,2008.0
13,14,Hélène Carrère d'Encausse (Perpetual Secretary),1990.0
14,15,Frédéric Vitoux,2001.0
15,16,Valéry Giscard d'Estaing,2003.0
16,17,Érik Orsenna,1998.0
17,18,Michel Serres,1990.0
18,19,Jean-Loup Dabadie,2008.0
19,20,Angelo Rinaldi,2001.0
20,21,Alain Finkielkraut,2014.0
21,22,René de Obaldia,1999.0
22,23,Pierre Rosenberg,1995.0
23,24,Max Gallo,2007.0
24,25,Dominique Fernandez,2007.0
25,26,Jean-Marie Rouart,1997.0
26,27,Pierre Nora,2001.0
27,28,Jean-Christophe Rufin,2008.0
28,29,Amin Maalouf,2011.0
29,30,Danièle Sallenave,2011.0
30,31,Michael Edwards,2013.0
31,32,François Weyergans,2009.0
32,33,Dominique Bona,2013.0
33,34,François Cheng,2002.0
34,35,Yves Pouliquen,2001.0
35,36,Philippe Beaussant,2007.0
36,37,Kosong,
37,38,Marc Lambron,2014.0
38,39,Jean Clair,2008.0
39,40,Xavier Darcos,2013.0
