,S p e s i e s,O t o r i t a s,L o k a s i,S t a t u s,S i n o n i m,C a t a t a n
0,Dickinsonia brachina [13],Wade1972,Australia,sinonim dari Dickinsonia tenuis,,
1,Dickinsonia costata [14],Sprigg1947,"Australia, Russia dan Ukraina",valid,Dickinsonia elongata Dickinsonia minima Dickinsonia spriggi Papilionata eyrei,"Tidak seperti spesies lain, D. costata memiliki segmen / isomer yang relatif lebih sedikit."
2,Dickinsonia elongata [15],Glaessner & Wade1966,Australia,sinonim dari Dickinsonia costata,,
3,Dickinsonia lissa[13],"Wade, 1972",Australia,valid,,"D. lissa sangat amat memanjang (mencapai 150 mm), bentuknya hampir seperti pita, dengan banyak sekali isomer tipis. Isomer di area kepala terbilang pendek dibandingkan panjang sisa tubuhnya. Fosilnya membawa sumbu aksial yang terlihat berbeda yang terdiri dari dua pita paralel yang memanjang dari bagian kepala sampai akhir posterior pada tubuhnya."
4,Dickinsonia menneri[16],Keller1976,Russia,valid,Vendomia menneri,"D. menneri adalah organisme kecil yang panjangnya mencapai 8 mm, dan sangat mirip spesimen muda dari D. costata dengan sejumlah kecil isomer dan kepala yang ditandai dengan baik. D. menneri dibedakan dari D. costata muda oleh bentuknya yang sekilas lebih memanjang. Awalnya diklasifikasikan sebagai Vendomia, fosil ini diidentifikasi ulang sebagai Dickinsonia oleh Ivantsov (2007)[2]"
5,Dickinsonia minima [17],Sprigg1949,Australia,sinonim Dickinsonia costata,,
6,Dickinsonia rex [18],Jenkins1992,Australia,valid,,"D. rex didirikan untuk paratipe D. elongata yang terpilih. Species ini direpresentasikan hanya dengan beberapa spesimen yang sangat besar (panjangnya lebih dari 1 m), dan tidak memiliki determinasi yang begitu jelas. Ukuran besarnya adalah alasan utama mengapa D. rex' dinyatakan sebagai spesies. Individu yang dikenal sebagai D. rex kemungkinan merupakan spesimen D. costata dan/atau D. tenuis yang besar."
7,Dickinsonia spriggi [19],Harrington & Moore1955,Australia,Sinonim dari Dickinsonia costata,,
8,Dickinsonia tenuis [15],Glaessner & Wade1966,Australia and Russia,valid,Dickinsonia brachina,"Sangat mirip D. costata, namun dibedakan oleh beberapa segmen yang lebih sempit, dengan tubuh yang sedikit lebih berbentuk oval."
