,N o,F o t o,N a m a,A w a l   J a b a t a n,A k h i r   J a b a t a n,A s a l   N e g a r a
0,1,,Gerrit Jan van Heuven Goedhart,1951,1956,Belanda
1,2,,Auguste Lindt,1956,1960,Swiss
2,3,,Félix Schnyder,1960,1965,Swiss
3,4,,Pangeran Sadruddin Aga Khan,1960,1977,Iran
4,5,,Poul Hartling,1978,1985,Denmark
5,6,,Jean-Pierre Hocké,1986,1989,Swiss
6,7,,Thorvald Stoltenberg,1990,1990,Norwegia
7,8,,Sadako Ogata,1990,2000,Jepang
8,9,,Ruud Lubbers,2001,2005,Belanda
9,10,,António Guterres,2005,2015,Portugal
10,11,,Filippo Grandi,2016,Sekarang,Italia
