,N o,S u k u   B a n g s a,J u m l a h
0,1,Suku Jawa,15.239.275
1,2,Suku Batak,7.302.330
2,3,Suku Minangkabau,5.799.001
3,4,Suku Asal Sumatera Selatan,4.826.272
4,5,Suku Melayu,4.016.182
5,6,Suku Asal Aceh,3.991.883
6,7,Suku Asal Sumatera Lainnya,2.086.804
7,8,Suku Asal Jambi,1.379.351
8,9,Suku Sunda,1.231.888
9,10,Suku Asal Lampung,1.109.601
10,11,Suku Nias,1.021.267
