,G u b e r n u r,M u l a i   m e n j a b a t,S e l e s a i   m e n j a b a t
0,Jitsuzo Nishimura (西村実造),12 April 1947,28 Maret 1949
1,Yuichi Osawa (大沢雄一),17 Mei 1949,28 Mei 1956
2,Hiroshi Kurihara (栗原浩),13 Juli 1956,12 Juli 1972
3,Yawara Hata (畑和),13 Juli 1972,12 Juli 1992
4,Yoshihiko Tsuchiya (土屋義彦),13 Juli 1992,18 Juli 2003
5,Kiyoshi Ueda (上田清司),31 Agustus 2003,30 Agustus 2019
6,Motohiro Ōno (大野元裕),31 Agustus 2019,Petahana
