,I s t i l a h,T e r j e m a h a n
0,budō (武道),jalan bela diri[3][4][5]
1,bujutsu (武術),"teknik bela diri sebagai alternatif ilmu pengetahuan, seni atau kerajinan perang"
2,bugei (武芸),seni bela diri
