,S k a l a,D e s k r i p s i
0,0,Sepenuhnya heteroseksual
1,1,"Heteroseksual, sesekali homoseksual"
2,2,"Heteroseksual, homoseksual lebih dari sesekali"
3,3,Biseksual.
4,4,"Homoseksual, heteroseksual lebih dari sesekali"
5,5,"Homoseksual, sesekali heteroseksual"
6,6,Sepenuhnya homoseksual
7,X,"Aseksual, Non-Seksual"
