,N o,T a n g g a l,H a r i,K e t e r a n g a n
0,1,1 Januari,Kamis,Tahun Baru Masehi
1,2,17 Februari,Selasa,Idul Adha (10 Dzulhijjah 1389H)
2,3,10 Maret,Selasa,Tahun Baru Islam (1 Muharram 1390H)
3,4,7 Mei,Kamis,Kenaikan Yesus Kristus
4,5,18 Mei,Senin,Maulid Nabi Muhammad SAW (12 Rabiul Awal 1390H)
5,6,15 Agustus,Sabtu,Santa Maria
6,7,17 Agustus,Senin,Hari Ulang Tahun Proklamasi Kemerdekaan Republik Indonesia ke-25
7,8,29 September,Selasa,Isra' Mi'raj Nabi Muhammad SAW (27 Rajab 1390H)
8,9,30 November-1 Desember,Senin-Selasa,Idul Fitri (1-2 Syawal 1390H)
9,10,25 Desember,Jumat,Hari Raya Natal
