,N e g a r a,K o t a,N e g a r a   B a g i a n / R e g i o n,S e j a k,R e f e r e n s i
0,Rusia,Volgograd,Volgograd Oblast,1966,[15]
1,Amerika Serikat,Denver,Colorado,1984,[16]
2,Amerika Serikat,San Antonio,Texas,2008,[17]
3,Malaysia,Kuala Lumpur,Wilayah Persekutuan,2010,[18]
