,D w i b i b i r,R o n g g a   g i g i,L a n g i t - l a n g i t,L a n g i t - l a n g i t   b e l a k a n g,C e l a h   s u a r a
0,m,n,ɲ,ŋ,
1,p,t,c,k,
2,b,d,ɟ,ɡ,
3,f,s,,,h
4,,l,,,
5,,ɾ,ɾ,,
6,w,,j,,
