,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r T,H u r u f   k e c i l t
0,Unicode,Unicode,U+0054,U+0074
1,ASCII,Desimal,84,116
2,ASCII,Biner,01010100,01110100
3,EBCDIC,EBCDIC,227,163
