,0,1,2,3,4,5,6,7,8,9,1 0,1 1,1 2,1 3,1 4,1 5,1 6,1 7
0,Av,-2.0,-1.0,0.0,1.0,2,3.0,4,5.0,6,7,8,9,10,11,12,13,14
1,Bukaan,0.5,0.7,1.0,1.4,2,2.8,4,5.6,8,11,16,22,32,45,64,90,128
