,B e n t u k   m a n d i r i,R o m a n i s a s i,S e b a g a i   d i a k r i t i k   u n t u k,B e n t u k   m a n d i r i . 1,R o m a n i s a s i . 1,S e b a g a i   d i a k r i t i k   u n t u k . 1
0,,a,,,ā,
1,,i,,,ī,
2,,u,,,ū,
3,,e,,,ai,
4,,o,,,au,
5,,aṃ,,,aḥ,
