,N o .,N a m a,A s a l   n e g a r a,M u l a i   m e n j a b a t,S e l e s a i   m e n j a b a t,C a t a t a n
0,1,Trygve Lie,Norwegia,2 Februari 1946,10 November 1952,Mundur
1,2,Dag Hammarskjöld,Swedia,10 April 1953,18 September 1961,Meninggal sewaktu menjabat
2,3,U Thant,Burma,30 November 1961,1 Januari 1972,Sekjen pertama dari Asia
3,4,Kurt Waldheim,Austria,1 Januari 1972,1 Januari 1982,
4,5,Javier Pérez de Cuéllar,Peru,1 Januari 1982,1 January 1992,Sekjen pertama dari Amerika
5,6,Boutros Boutros-Ghali,Mesir,1 Januari 1992,1 Januari 1997,Sekjen pertama dari Afrika
6,7,Kofi Annan,Ghana,1 Januari 1997,1 Januari 2007,
7,8,Ban Ki-moon,Korea Selatan,1 Januari 2007,1 Januari 2017,
8,9,António Guterres,Portugal,1 Januari 2017,,
