,T i p e   n u t r i s i,S u m b e r   e n e r g i,S u m b e r   k a r b o n,C o n t o h
0,Fototrof,Cahaya matahari,Senyawa organik (fotoheterotrof) atau fiksasi karbon (fotoautotrof),"Sianobakteri, bakteri belerang hijau, Chloroflexi, dan bakteri ungu"
1,Litotrof,Senyawa anorganik,Senyawa organik (litoheterotrof) atau fiksasi karbon (litoautotrof),"Thermodesulfobacteriaceae, Hydrogenophilaceae, dan Nitrospiraceae"
2,Organotrof,Senyawa organik,Senyawa organik (kemoheterotrof) atau fiksasi karbon (kemoautotrof),"Bacillus, Clostridium, dan Enterobacteriaceae"
