,K o t a,J a n,F e b,M a r,A p r,M e i,J u n,J u l,A g u,S e p,O k t,N o v,D e s
0,Concordia,36/17,43/22,54/31,64/41,74/52,85/62,91/67,88/66,80/56,68/44,51/30,40/21
1,Dodge City,41/19,48/24,57/31,67/41,76/52,87/62,93/67,91/66,82/56,70/44,55/30,44/22
2,Goodland,39/16,45/20,53/26,63/35,72/46,84/56,89/61,87/60,78/50,66/38,50/25,41/18
3,Topeka,37/17,44/23,55/33,66/43,75/53,84/63,89/68,88/65,80/56,69/44,53/32,41/22
4,Wichita,40/20,47/25,57/34,67/44,76/54,87/64,93/69,92/68,82/59,70/47,55/34,43/24
