,T a k s o n,U k u r a n   ( c m 3 ),J u m l a h   s p e s i m e n,U s i a   ( m e g a a n n u m )
0,Australopithecus afarensis,438,4,3.6–2.9
1,Australopithecus africanus,452,7,3.0–2.4
2,Paranthropus boisei,521,1,2.3–1.4
3,Paranthropus robustus,530,1,1.9–1.4
4,Homo habilis,612,6,1.9–1.6
5,Homo rudolfensis,700[1],1,2.4–1.6
6,Homo ergaster,871,3,1.9–1.7
