,0,1,2
0,Nomor,Pemain,Jumlah
1,Tunggal putra,William Renshaw,7
2,,Pete Sampras,7
3,,Roger Federer,8
4,Tunggal putri,Martina Navrátilová,9
5,Ganda putra,Todd Woodbridge,9
6,Ganda putri,Elizabeth Ryan,12
7,Ganda campuran,Elizabeth Ryan,7
8,Gelar terbanyak (seluruh nomor),Billie Jean King,20
9,,Martina Navrátilová,20
