,S e n y a w a,R u m u s,K o m p o s i s i,K o m p o s i s i
0,Silika,SiO2,60.2%,48.6%
1,Alumina,Al2O3,15.2%,16.5%
2,Kapur,CaO,5.5%,12.3%
3,Magnesia,MgO,3.1%,6.8%
4,Besi(II) oksida,FeO,3.8%,6.2%
5,Sodium oksida,Na2O,3.0%,2.6%
6,Kalium oksida,K2O,2.8%,0.4%
7,Besi(III) oksida,Fe2O3,2.5%,2.3%
8,Air,H2O,1.4%,1.1%
9,Karbon dioksida,CO2,1.2%,1.4%
10,Titanium dioksida,TiO2,0.7%,1.4%
11,Fosforus pentoksida,P2O5,0.2%,0.3%
12,Total,Total,99.6%,99.9%
