,N a m a s a t u a n,S i m b o l s a t u a n,S i m b o l d i m e n s i,N a m a b e s a r a n,D e f i n i s i   s i n g k a t
0,detik[a],s,T,waktu,Nilai numerik tetap dari frekuensi sesium ∆νCs sebesar 9.192.631.770 bila dinyatakan dalam satuan Hz yang sebanding dengan s−1.
1,meter,m,L,panjang,Nilai numerik tetap dari laju cahaya dalam ruang hampa c sebesar 299.792.458 bila dinyatakan dalam satuan m⋅s−1.
2,kilogram[b],kg,M,massa,"Nilai numerik tetap dari konstanta Planck h sebesar 6,62607015×10−34 bila dinyatakan dalam satuan J⋅s yang sebanding dengan kg⋅m2⋅s−1."
3,ampere,A,I,arus listrik,"Nilai numerik tetap dari muatan listrik partikel e sebesar 1,602176634×10−19 bila dinyatakan dalam satuan C yang sebanding dengan A⋅s."
4,kelvin,K,Θ,suhu termodinamika,"Nilai numerik tetap dari konstanta Boltzmann k sebesar 1,380649×10−23 bila dinyatakan dalam satuan J⋅K−1 yang sebanding dengan kg⋅m2⋅s−2⋅K−1."
5,mol,mol,N,jumlah zat,"6,02214076×1023 entitas elementer[c] yang merupakan nilai numerik tetap dari konstanta Avogadro NA bila dinyatakan dalam satuan mol−1 dan disebut bilangan Avogadro."
6,kandela,cd,J,intensitas cahaya,"Nilai numerik tetap dari efikasi cahaya oleh radiasi monokromatik pada frekuensi 540×1012 Hz, Kcd, sebesar 683 bila dinyatakan dalam satuan lm⋅W−1 yang sebanding dengan cd⋅sr⋅W−1 atau cd⋅sr⋅kg−1⋅m−2⋅s3."
7,"Note .mw-parser-output .reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman} ^ Sekon (bahasa Inggris: second adalah kata alternatif untuk detik. ^ Meskipun ada awalan ""kilo-"", kilogram adalah satuan pokok massa. Kilogram, bukan gram, digunakan dalam definisi satuan turunan. ^ Entitas elementer dapat berupa atom, molekul, ion, elektron, partikel lain, atau kelompok partikel tertentu.","Note .mw-parser-output .reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman} ^ Sekon (bahasa Inggris: second adalah kata alternatif untuk detik. ^ Meskipun ada awalan ""kilo-"", kilogram adalah satuan pokok massa. Kilogram, bukan gram, digunakan dalam definisi satuan turunan. ^ Entitas elementer dapat berupa atom, molekul, ion, elektron, partikel lain, atau kelompok partikel tertentu.","Note .mw-parser-output .reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman} ^ Sekon (bahasa Inggris: second adalah kata alternatif untuk detik. ^ Meskipun ada awalan ""kilo-"", kilogram adalah satuan pokok massa. Kilogram, bukan gram, digunakan dalam definisi satuan turunan. ^ Entitas elementer dapat berupa atom, molekul, ion, elektron, partikel lain, atau kelompok partikel tertentu.","Note .mw-parser-output .reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman} ^ Sekon (bahasa Inggris: second adalah kata alternatif untuk detik. ^ Meskipun ada awalan ""kilo-"", kilogram adalah satuan pokok massa. Kilogram, bukan gram, digunakan dalam definisi satuan turunan. ^ Entitas elementer dapat berupa atom, molekul, ion, elektron, partikel lain, atau kelompok partikel tertentu.","Note .mw-parser-output .reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman} ^ Sekon (bahasa Inggris: second adalah kata alternatif untuk detik. ^ Meskipun ada awalan ""kilo-"", kilogram adalah satuan pokok massa. Kilogram, bukan gram, digunakan dalam definisi satuan turunan. ^ Entitas elementer dapat berupa atom, molekul, ion, elektron, partikel lain, atau kelompok partikel tertentu."
