,J e n i s   m o l e k u l,N a m a   m o n o m e r,N a m a   p o l i m e r,C o n t o h   b e n t u k   p o l i m e r
0,Asam Amino,Asam amino,Protein (tersusun atas polipeptida),Protein serabut dan protein globular
1,Karbohidrat,Monosakarida,Polisakarida,"Amilum, glikogen dan selulosa"
2,Asam nukleat,Nukleotida,Polinukleotida,DNA dan RNA
