,P r e n o m e n,N a m a   f i r a u n,T a h u n   b e r k u a s a
0,Kheperkare,Nectanebo I,380 - 362 SM
1,Irmaatenre,Teos,362 - 360 SM
2,Senedjemibra Setepeninhur,Nectanebo II,360 - 343 SM
