,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r D,H u r u f   k e c i l d
0,Unicode,Unicode,U+0044,U+0064
1,ASCII,Desimal,68,100
2,ASCII,Biner,01000100,01100100
3,EBCDIC,EBCDIC,196,132
