,B i l a n g a n   1 - 3 0,B i l a n g a n   1 - 3 0 . 1,B i l a n g a n   1 - 3 0 . 2,B i l a n g a n   1 - 3 0 . 3,B i l a n g a n   1 - 3 0 . 4,B i l a n g a n   1 - 3 0 . 5
0,mesa,1,hngul esa,11,buk dua beas esa atau buk dua-s esa,21
1,dua,2,hngul dua,12,buk dua beas dua atau buk dua-s dua,22
2,tilu,3,hngul tilu,13,buk dua beas tilu atau buk dua-s tilu,23
3,aat,4,hngul aat,14,buk dua beas aat atau buk dua-s aat,24
4,lima,5,hngul lima,15,buk dua beas lima atau buk dua-s lima,25
5,eneng,6,hngul eneng,16,buk dua beas eneng atau buk dua-s eneng,26
6,itu,7,hngul itu,17,buk dua beas itu atau buk dua-s itu,27
7,palu,8,hngul palu,18,buk dua beas palu atau buk dua-s palu,28
8,sipa,9,hngul sipa,19,buk dua beas sipa atau buk dua-s sipa,29
9,hngulu,10,buk dua,20,buk tilu,30
