,S i f a t,D 2 O   ( A i r   b e r a t ),H D O   ( A i r   s e m i b e r a t ),H 2 O   ( A i r   b i a s a )
0,Titik beku,3.82 °C (38.88 °F) (276.97 K),2.04 °C (35.67 °F) (275.19 K),0.0 °C (32 °F) (273.15 K)
1,Titik didih,101.4 °C (214.5 °F) (374.55 K),100.7 °C (213.3 °F) (373.85 K),100.0 °C (212 °F) (373.15 K)
2,Kepadatan pada STP (g/mL),1.1056,1.054,0.9982
3,Suhu massa jenis maksimum,11.6 °C,-,3.98 °C[8]
4,"Kekentalan dinamis (pada 20 °C, mPa·s)",1.2467,1.1248,1.0016
5,"Tegangan permukaan (pada 25 °C, N/m)",0.07187,0.07193,0.07198
6,Kalor peleburan (kJ/mol),6.132,6.227,6.00678
7,Kalor penguapan (kJ/mol),41.521,-,40.657
