,D i s t r i k,P u s a t,A r e a [ 4 ],A r e a [ 4 ],P o p u l a s i,P o p u l a s i,P o p u l a s i,P o p u l a s i,P o p . / k m 2 2 0 1 6
0,Alarm Forest,Briars,5.4,2.1,289,276,383,394,70.4
1,Blue Hill,Desa Blue Hill,36.8,14.2,177,153,158,174,4.3
2,Half Tree Hollow,Half Tree Hollow,1.6,0.6,1140,901,984,1034,633.2
3,Jamestown,Jamestown,3.9,1.5,884,716,629,625,161.9
4,Levelwood,Levelwood,14.8,5.7,376,316,369,342,25.0
5,Longwood,Longwood,33.4,12.9,960,715,790,765,23.6
6,Sandy Bay,Sandy Bay,16.1,6.2,254,205,193,177,12.0
7,Saint Paul's,Desa Saint Paul,11.4,4.4,908,795,843,928,74.0
8,Total,Jamestown,123.3,47.6,5157,4257,4349,4439,35.3
