,A t l e t,C a b a n g   o l a h r a g a,P e r i o d e,T o t a l
0,Michael Phelps,Renang,2004–2016,28
1,Larisa Latynina,Senam artistik,1956–1964,18
2,Paavo Nurmi,Atletik,1920–1928,12
3,Mark Spitz,Renang,1968–1972,11
4,Carl Lewis,Atletik,1984–1996,10
5,Marit Bjørgen,Ski lintas alam,2002–2018,15
6,Ole Einar Bjørndalen,Biatlon,1998–2014,13
7,Bjørn Dæhlie,Ski lintas alam,1992–1998,12
8,Birgit Fischer,Dayung,1980–2004,12
9,Sawao Kato,Senam artistik,1968–1976,12
10,Jenny Thompson,Renang,1992–2004,12
