,K a n d u n g a n,K a m b i n g,S a p i,M a n u s i a
0,Lemak (g),3.8,3.6,4.0
1,Protein (g),3.5,3.3,1.2
2,Laktosa (g),4.1,4.6,6.9
3,Abu (g),0.8,0.7,0.2
4,Jumlah pepejal (g),12.2,12.3,12.3
5,Kalori,70.0,69.0,68.0
