,A n g k a,I n d o n e s i a,M a m u j u,P e l a f a l a n   d a l a m   I P A
0,1,satu,setto,/setːo/
1,2,dua,dua,/duʷa/
2,3,tiga,tallu,/talːu/
3,4,empat,patta',/patːaʔ/
4,5,lima,lima,/lima/
5,6,enam,anang,/ʔanaŋ/
6,7,tujuh,pitu,/pitu/
7,8,delapan,uwalu,/uwalu/
8,9,sembilan,sasiyo,/sasijo/
9,10,sepuluh,sampulo,/sampulo/
10,20,dua puluh,duampulo,/duampulo/
11,100,seratus,sapattiara,/sapatːiaɾa/
12,1000,seribu,sassa'bu,/sasːaʔbu/
