,M u s i m,T u a n   r u m a h,F i n a l,F i n a l,F i n a l,P e r e b u t a n   t e m p a t   k e t i g a,P e r e b u t a n   t e m p a t   k e t i g a,P e r e b u t a n   t e m p a t   k e t i g a
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,2018–2019(detail),Portugal,1–0,Belanda,Inggris,Swiss,,
4,2020–2021(detail),Italia,2-1,Spanyol,Italia,Belgia,,
5,2022–23(detail),TBA,,,,,,
