,0,1,2,3
0,"Ekspor Jepang 1604-1639(Dari ""Red Seal Ships"", Nagazumi Yoko)","Ekspor Jepang 1604-1639(Dari ""Red Seal Ships"", Nagazumi Yoko)","Ekspor Jepang 1604-1639(Dari ""Red Seal Ships"", Nagazumi Yoko)","Ekspor Jepang 1604-1639(Dari ""Red Seal Ships"", Nagazumi Yoko)"
1,Tipe,Jumlahkapal(Rata-rataper tahun),NilaiEkspor(dlm kg Perak),Di mana:VolumeEkspor perak(dlm kg Perak)
2,Kapal segel merah,10,1.053.750,843.000
3,Kapal Portugis,1,813.375,650.700
4,Kapal Tiongkok,,429.825,343.860
5,Kapal Belanda,3,286.245,228.996
6,Total,,2.583.195,2.066.556
