,N o .,N e g a r a,K o n f i r m a s i   k a s u s   A S F [ 1 6 ]
0,Asia Timur,Asia Timur,Asia Timur
1,1.,Tiongkok,3 Agustus 2018
2,2.,Mongolia,15 Januari 2019
3,3.,Korea Utara,23 Mei 2019
4,4.,Korea Selatan,17 September 2019
5,Asia Tenggara,Asia Tenggara,Asia Tenggara
6,1.,Vietnam,19 Februari 2019
7,2.,Kamboja,2 April 2019
8,3.,Laos,20 Juni 2019
9,4.,Filipina,25 Juli 2019
10,5.,Myanmar,1 Agustus 2019
11,6.,Timor Leste,26 September 2019
12,7.,Indonesia,12 Desember 2019
