,H u r u f   b e s a r,H u r u f   k e c i l,I P A,H u r u f   b e s a r . 1,H u r u f   k e c i l . 1,I P A . 1
0,A,a,/aː/,N,n,/ɛn/
1,B,b,/beː/,O,o,/oː/
2,C,c,/tseː/,P,p,/peː/
3,D,d,/deː/,Q,q,/kuː/
4,E,e,/eː/,R,r,/ɛr/
5,F,f,/ɛf/,S,s,/ɛs/
6,G,g,/geː/,T,t,/teː/
7,H,h,/haː/,U,u,/uː/
8,I,i,/iː/,V,v,/faʊ/
9,J,j,/jɔt/,W,w,/veː/
10,K,k,/kaː/,X,x,/ɪks/
11,L,l,/ɛl/,Y,y,/'ʏpsilɔn/
12,M,m,/ɛm/,Z,z,/tsɛt/
