,"D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )","D a t a   i k l i m   B r i s b a n e   ( B r i s b a n e ,   1 9 9 9 – 2 0 2 0 )"
0,Rekor tertinggi °C (°F),40.0 (104),41.7 (107.1),37.9 (100.2),33.7 (92.7),30.7 (87.3),29.0 (84.2),29.1 (84.4),35.4 (95.7),37.0 (98.6),38.7 (101.7),38.9 (102),41.2 (106.2),41.7 (107.1)
1,Rata-rata tertinggi °C (°F),30.5 (86.9),30.2 (86.4),29.1 (84.4),27.1 (80.8),24.6 (76.3),22.0 (71.6),22.1 (71.8),23.4 (74.1),25.7 (78.3),27.0 (80.6),28.3 (82.9),29.6 (85.3),26.6 (79.9)
2,Rata-rata harian °C (°F),26.1 (79),25.8 (78.4),24.7 (76.5),22.2 (72),19.2 (66.6),16.9 (62.4),16.2 (61.2),17.1 (62.8),19.7 (67.5),21.7 (71.1),23.5 (74.3),25.0 (77),20.7 (69.3)
3,Rata-rata terendah °C (°F),21.7 (71.1),21.4 (70.5),20.2 (68.4),17.4 (63.3),13.8 (56.8),11.9 (53.4),10.3 (50.5),10.8 (51.4),13.8 (56.8),16.4 (61.5),18.8 (65.8),20.4 (68.7),16.4 (61.5)
4,Rekor terendah °C (°F),17.0 (62.6),16.5 (61.7),12.2 (54),10.0 (50),5.0 (41),5.0 (41),2.6 (36.7),4.1 (39.4),7.0 (44.6),8.8 (47.8),10.8 (51.4),14.0 (57.2),2.6 (36.7)
5,Presipitasi mm (inci),138.1 (5.437),150.1 (5.909),124.6 (4.906),61.3 (2.413),61.1 (2.406),63.8 (2.512),27.5 (1.083),35.4 (1.394),27.3 (1.075),82.8 (3.26),88.0 (3.465),129.1 (5.083),"1.011,5 (39,823)"
6,Rata-rata hari hujan atau bersalju,11.9,13.4,14.9,11.3,9.0,9.7,7.6,5.6,7.2,9.6,10.4,12.7,123.3
7,% kelembapan,60.0,62.5,61.5,60.5,57.5,61.0,54.0,51.0,53.0,53.5,57.5,58.5,57.54
8,Rata-rata sinar matahari bulanan,267,235,233,237,239,198,239,270,267,270,273,264,2.989
9,Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23],Sumber: Bureau of Meteorology[23]
