,K e D a r i,P a d a t,C a i r,G a s,P l a s m a
0,Padat,,Mencair,Menyublim,
1,Cair,Membeku,,Menguap,
2,Gas,Mengkristal,Mengembun,,Mengion
3,Plasma,,,Rekombinasi,
