,N o m o r,B a h a s a   I n d o n e s i a,B a h a s a   K o h i n
0,1,abu,kabu
1,2,air,arai
2,3,akar,uhat
3,4,aku,aku
4,5,alir (me),mahasu
5,6,anak,anak
6,7,angin,bahiu
7,8,anjing,asu
8,9,apa,endai
9,10,api,apui
10,11,apung,ombut
11,12,asap,onsun
12,13,awan,awan
13,14,bagaimana,kubeh
14,15,baik,pios (bagus: lamus+(nomina konkrit))
15,16,bakar,mapong
16,17,balik,maik
17,18,banyak,boai (laa: banyak-indenfinit ?)
18,19,bapak,amang
19,20,baring,kaing
20,21,baru,sota
21,22,basah,bisa
22,23,batu,batu
23,24,beberapa,pipiye
24,25,belah (me),meta?
25,26,benar,mboong
26,27,benih,bonyi
27,28,bengkak,bangkak
28,29,berenang,nahangui
29,30,berjalan,nyaan
30,31,berat,bahat
31,32,beri,nonga
32,33,besar,hayo
33,34,bilamana,kubehko (kapan: mihie)
34,35,binatang,binatang
35,36,bintang,bintang
36,37,buah,bua
37,38,bulan,buan
38,39,bulu,buu
39,40,bunga,kambang
40,41,bunuh,patoy
41,42,buru (ber),ngandup
42,43,buruk,maram
43,44,burung,suyat
44,45,busuk,maram
45,46,cacing,bahung
46,47,cium,kaok
47,48,cuci,nguhi
48,49,daging,daging
49,50,dan,dee
50,51,danau,abang
51,52,darah,daha?
52,53,datang,hojok
53,54,daun,daun
54,55,debu,dabu
55,56,dekat,doni
56,57,dengan,ba
57,58,dengar,ngonih
58,59,di dalam,aang huang
59,60,"di, pada",aang
60,61,di mana,aang ngai
61,62,dingin,songin
62,63,diri (ber),tonjok
63,64,di sini,aang ahi
64,65,di situ,aang ijo
65,66,dorong,tujuah
66,67,dua,duo
67,68,duduk,munduk
68,69,ekor,ikuh
69,70,empat,opat
70,71,engkau,iko
71,72,gali,ngaik
72,73,garam,mansing
73,74,garuk,kayow
74,75,gemuk,monyak
75,76,gigi,singa
76,77,gigit,mongit
77,78,gosok,nginsut
78,79,gunung,puuk
79,80,hantam,nyraa
80,81,hapus,nginsut
81,82,hati,atoi
82,83,,
83,84,hidup,boum
84,85,hijau,hijau
85,86,hisap,ngasiop
86,87,hitam,mintom
87,88,hitung,ngitung
88,89,hujan,ujan
89,90,hutan,himba
90,91,ia,inyo
91,92,ibu,inang
92,93,ikan,ojin
93,94,ikat,motong (a)
94,95,isteri,ouh
95,96,ini,ihi
96,97,itu,ijo
97,98,jahit,jahit
98,99,jalan,nyaan (nomina: jaan)
99,100,jantung,jantung
100,101,paman.,mamak
101,102,jauh,maju
102,103,kabut,habun
103,104,kaki,tikang
104,105,kalau,amun
105,106,kami,ikei
106,107,kamu,ikam
107,108,,
108,109,,
109,110,kata (ber),bapander
110,111,kecil,koik
111,112,kelahi (ber),siak
112,113,kepala,kuhung
113,114,kering,koyah
114,115,kiri,kambuoi
115,116,kotor,kutur
116,117,kuku,siu?
117,118,kulit,upus (kulit kayu: upak)
118,119,kuning,bahenda
119,120,kutu,kutu
120,121,lain,bukon
121,122,langit,angit
122,123,laut,laut
123,124,lebar,buka
124,125,leher,uyat
125,126,lelaki,hatue
126,127,lempar,medak
127,128,licin,malisen
128,129,lidah,jowa
129,130,lihat,noto
130,131,lima,lime
131,132,ludah,uja
132,133,lurus,bujur
133,134,lutut,tuut
134,135,main,main
135,136,makan,kuman
136,137,malam,mahaom
137,138,mata,mata
138,139,matahari,matanondo
139,140,mati,matoi
140,141,merah,bahandang
141,142,mereka,ide
142,143,minum,ngous
143,144,mulut,bau
144,145,muntah,nguta
145,146,nama,ndaa
146,147,napas,asong
147,148,nyanyi,nyanyi
148,149,orang,uun
149,150,panas,basut
150,151,panjang,hombu
151,152,pasir,baas
152,153,pegang,noyang
153,154,pendek,pandak
154,155,peras,mahamos
155,156,perempuan,babi
156,157,perut,tanoi
157,158,pikir,mikir
158,159,pohon,puun (kayu)
159,160,potong,nebeng
160,161,punggung,kahang
161,162,pusar,pusot
162,163,putih,puti
163,164,rambut,bao
164,165,rumput,uu?
165,166,satu,ico
166,167,sayap,kalapas
167,168,sedikit,kiok
168,169,siang,betukbndo
169,170,siapa,ebe
170,171,sempit,sikop
171,172,semua,uras
172,173,suami,bosai
173,174,sungai,sungoi
174,175,tajam,nyoot
175,176,tahu,taya
176,177,tahun,toun
177,178,takut,mikoh
178,179,tali,tai
179,180,tanah,tana?
180,181,tangan,tongo
181,182,tarik,narik
182,183,tebal,kapan
