,K a t e g o r i,K a t e g o r i . 1,P e r s e n t a s e,P e r s e n t a s e . 1,T o t a l
0,Air asin,Air asin,"97,25%","97,25%",1.322.600.000 km2
1,Air tawar,Air di atmosfer,"0,035%","2,75%",37.400.000 km2
2,Air tawar,Air permukaan,1%,"2,75%",37.400.000 km2
3,Air tawar,Air tanah,"23,97%","2,75%",37.400.000 km2
4,Air tawar,Salju/es,75%,"2,75%",37.400.000 km2
