,H a k i m,H a k i m . 1,H a k i m . 2,T a n g g a l   l a h i r,M u l a i   m e n j a b a t,S e l e s a i   m e n j a b a t,L a m a   m e n j a b a t,J a b a t a n   f u n g s i o n a l,A l m a   m a t e r
0,1,,Kusumah AtmajaProf. Dr. Mr.,8 September 1898,19 Agustus 1945,11 Agustus 1952,,Ketua (1945-1952)[1],Leiden
1,2,,Satochid KartanegaraMr.,,15 Maret 1950[2],,,,
2,3,,Wirjono ProdjodikoroMr.,15 Juni 1903,15 Maret 1950[3],21 Juni 1966[4],,Ketua (1952-1966),Batavia
3,4,,GondokoesoemoMr.,,15 Maret 1950[5],,,,
4,5,,SoepraptoMr.,,26 Juli 1950[6],,,,
5,6,,Soetan Kali Malikoel AdilMr.,,26 Juli 1950[7],,,,
6,7,,SoebektiMr.,14 Mei 1914[butuh rujukan],1958[butuh rujukan],22 Januari 1974[butuh rujukan],,Ketua (1968-1974),
