,J a b a t a n,N a m a
0,Presiden Direktur,Gilang Widya Pramana
1,Manajer Umum,Ali Rifki
2,Manajer Bisnis,Muhammad Yusrinal
3,Manajer Legal,Eko Prasetyo
4,Manajer Hubungan Internasional,Fuad Ardiansyah
5,Media Officer,Sudarmadji
