,T o t a l i t e r,O t o r i t e r
0,Tinggi,Rendah
1,Pemimpin hanya menjalankan fungsi,Pemimpin sebagai kepribadian
2,Publik,Pribadi
3,Rendah,Tinggi
4,Ada,Tidak ada
5,Tidak ada,Ada
6,Ada,Tidak ada
