,N a m a   r e g i o n   ( p r o v i n s i ),I b u   k o t a   a d m i n i s t r a s i,K o t a   t e r b e s a r,P o p u l a s i ( 1   J a n u a r i   2 0 0 8 ),L u a s   ( k m ² ),K e p a d a t a n   p e n d u d u k ( p e r   k m ² ),A m t   ( 1 9 7 0 - 2 0 0 6 )
0,Region Hovedstaden,Hillerød,København,1.645.825,2.561,6426,"Københavns and Frederiksborg, dan munisipalitas København, Frederiksberg dan Bornholm"
1,Region Midtjylland,Viborg,Århus,1.237.041,13.142,942,"Ringkjøbing, hampir seluruh Århus, bagian selatan Viborg dan bagian utara Vejle"
2,Region Nordjylland,Aalborg,Aalborg,578.839,7.927,732,"Jutlandia Utara, bagian utara Viborg dan sebagian kecil Århus"
3,Region Sjælland,Sorø,Roskilde,819.427,7.273,1127,"Roskilde, Storstrøm, dan Sjælland Barat"
4,Region Syddanmark,Vejle,Odense,1.194.659,12.191,9799,"Funen, Ribe, Jutlandia Selatan dan separo selatan dari Vejle"
5,Total,,,5.475.791,43.094,1270,
