,U n i t   b a r u,P e n g a w a s,F u n g s i   O S S
0,Strategic Services Unit (SSU),Departemen Perang,"Secret Intelligence (SI) (i.e., pengumpulan intelijen rahasia) dan kontra-spionase (X-2)"
1,Interim Research and Intelligence Service (IRIS),Departemen Luar Negeri,"Research and Analysis Branch (i.e., analisis intelijen)"
2,Psychological Warfare Division (PWD) (sebelumnya tidak di OSS saja),"Departemen Perang, Kepala Staf Angkatan Darat","Staf dari Operational Groups, Operasi Jedburgh, Morale Operations (propaganda hitam)"
