,T a h u n,K e j a d i a n
0,570,"Tanggal lahir, 20 April di Kota Mekkah"
1,570,"Tahun Gajah, gagalnya Abrahah menyerang Mekkah"
2,576,"Meninggalnya ibu, Aminah"
3,578,"Meninggalnya kakek, Abdul Muthalib"
4,583,Melakukan perjalanan dagang ke Suriah bersama Abu Thalib
5,595,Bertemu dan menikah dengan Khadijah
6,610,"Wahyu pertama turun di Gua Hira dan menjadi nabi sekaligus rasul, kemudian mendapatkan sedikit pengikut: As-Sabiqun al-Awwalun"
7,613,Menyebarkan Islam kepada umum
8,614,Mendapatkan banyak pengikut
9,615,Hijrah pertama ke Habsyah
10,616,Awal dari pemboikotan Quraisy terhadap Bani Hasyim
11,619,Akhir dari pemboikotan Quraish terhadap Bani Hasyim
12,619,Tahun kesedihan: Khadijah dan Abu Thalib meninggal
13,620,Dihibur oleh Allah melalui Malaikat Jibril dengan cara Isra' dan Mi'raj sekaligus menerima perintah salat 5 waktu
14,621,Bai'at 'Aqabah pertama
15,622,Bai'at 'Aqabah kedua
16,622,Hijrah ke Madinah
17,624,Pertempuran Badar
18,624,Pengusiran Bani Qaynuqa
19,625,Pertempuran Uhud
20,625,Pengusiran Bani Nadir
21,625,Pertempuran Zaturriqa`
22,626,Penyerangan ke Dumat al-Jandal: Suriah
23,627,Pertempuran Khandak
24,627,Perang Bani Qurayzhah
25,628,Perjanjian Hudaibiyyah
26,628,Melakukan umrah ke Ka'bah
27,628,Pertempuran Khaybar
28,629,Melakukan ibadah haji
29,629,Pertempuran Mu'tah
30,630,Pembukaan Kota Makkah
31,630,Pertempuran Hunain
32,630,Pertempuran Autas
33,630,Pendudukan Thaif
34,631,Menguasai sebagian besar Jazirah Arab
35,632,Pertempuran Tabuk
36,632,Haji Wada'
37,632,Meninggal (8 Juni): Madinah
