,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r F,H u r u f   k e c i l f
0,Unicode,Unicode,U+0046,U+0066
1,ASCII,Desimal,70,102
2,ASCII,Biner,01000110,01100110
3,EBCDIC,EBCDIC,198,134
