,"D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )","D a t a   i k l i m   B o g o t a   D . C .   ( E l   D o r a d o   A i r p o r t ,   1 9 7 2 - 1 9 9 0 )"
0,Rata-rata tertinggi °C (°F),19.6 (67.3),19.7 (67.5),19.7 (67.5),19.3 (66.7),19.0 (66.2),18.3 (64.9),18.1 (64.6),18.3 (64.9),18.7 (65.7),18.8 (65.8),19.1 (66.4),19.2 (66.6),19.0 (66.2)
1,Rata-rata terendah °C (°F),5.4 (41.7),6.1 (43),7.4 (45.3),8.2 (46.8),8.4 (47.1),8.0 (46.4),7.5 (45.5),7.0 (44.6),6.9 (44.4),7.6 (45.7),7.7 (45.9),6.1 (43),7.2 (45)
2,Curah hujan mm (inci),33 (1.3),43 (1.69),66 (2.6),111 (4.37),94 (3.7),57 (2.24),41 (1.61),49 (1.93),73 (2.87),115 (4.53),88 (3.46),54 (2.13),824 (32.44)
3,Rata-rata hari hujan,8,11,14,18,20,19,17,16,17,20,18,12,190
4,Rata-rata sinar matahari bulanan,189.1,152.6,145.7,111,114.7,111,142.6,139.5,123,120.9,135,167.4,"1.652,5"
5,Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6],Sumber: Hong Kong Observatory [6]
