,N o,T a n g g a l,H a r i,K e t e r a n g a n
0,1,1 Januari,Senin,Tahun Baru Masehi
1,2,15 Januari,Senin,Idul Adha (10 Dzulhijjah 1392H)
2,3,4 Februari,Minggu,Tahun Baru Islam (1 Muharram 1393H)
3,4,15 April,Minggu,Maulid Nabi Muhammad SAW (12 Rabiul Awal 1393H)
4,5,20 April,Jumat,Wafat Yesus Kristus
5,6,31 Mei,Kamis,Kenaikan Yesus Kristus
6,7,17 Agustus,Jumat,Hari Ulang Tahun Proklamasi Kemerdekaan Republik Indonesia ke-28
7,8,26 Agustus,Minggu,Isra' Mi'raj Nabi Muhammad SAW (27 Rajab 1393H)
8,9,27-28 Oktober,Sabtu-Minggu,Idul Fitri (1-2 Syawal 1393H)
9,10,25 Desember,Selasa,Hari Raya Natal
