,K e l o m p o k E t n i s,s e n u s   1 9 2 6 1,s e n u s   1 9 2 6 1,s e n s u s   1 9 5 9 3,s e n s u s   1 9 5 9 3,s e n s u s   1 9 8 9 6,s e n s u s   1 9 8 9 6,s e n s u s   1 9 9 9 7,s e n s u s   1 9 9 9 7,s e n s u s   2 0 1 4 7,s e n s u s   2 0 1 4 7
0,Kirgiz,671349,66.7,846935,40.7,2289673,52.4,3168077,64.9,4193850,72.6
1,Uzbek,110463,11.2,248680,11.0,580096,12.9,764950,13.8,836065,14.4
2,Rusia,116436,12.5,533082,34.3,936598,21.8,603201,12.5,369939,6.4
